frame,ate,rot_err_deg,sharpness
0,0.04722,0.0,1577.087
1,0.04705,0.1199,1620.922
2,0.04691,0.1199,1651.279
3,0.03577,0.3137,1681.439
4,0.04181,0.3137,1665.326
5,0.03989,0.3671,1656.253
6,0.01591,1.0495,1724.42
7,0.00966,1.1573,1738.266
8,0.02564,1.4279,1774.596
9,0.03459,1.6012,1759.189
10,0.07665,2.4355,1697.588
11,0.06595,2.4159,1691.353
12,0.0378,2.3151,1807.405
13,0.04932,2.4055,1597.937
14,0.0384,2.2943,1574.562
15,0.03805,2.2943,1535.099
16,0.02583,2.2215,1521.49
17,0.02316,2.2234,1519.216
18,0.02132,2.1775,1521.045
19,0.03671,2.576,1420.843
20,0.03811,1.5599,1446.034
21,0.02692,1.7015,1346.974
22,0.03003,1.9963,1373.733
23,0.02788,2.1715,1413.736
24,0.02498,2.3315,1549.936
25,0.02231,2.4632,1407.24
26,0.03284,2.7021,1448.014
27,0.01209,2.6667,1291.493
28,0.0554,1.4897,1349.095
29,0.05337,1.5498,1297.937
30,0.04465,1.8531,1221.422
